run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,2802.19,3907.10,3685.98,1450472723,1450472826,200.19.151.143,2015-12-18 21:07:07 2015 UTC,4,100000,10,10000,0,0,32174,5515,26660,8,2,66,1,OpenDaylight,7429,7451
1,3692.99,3960.25,3818.30,1450472862,1450472965,200.19.151.143,2015-12-18 21:09:25 2015 UTC,4,100000,10,10000,0,0,32174,5515,26657,8,3,48,2,OpenDaylight,7461,7482
2,3354.18,3806.87,3626.93,1450472978,1450473080,200.19.151.143,2015-12-18 21:11:20 2015 UTC,4,100000,10,10000,0,0,32174,5516,26656,8,3,28,2,OpenDaylight,7485,7505
3,3592.26,3944.19,3707.76,1450473094,1450473197,200.19.151.143,2015-12-18 21:13:17 2015 UTC,4,100000,10,10000,0,0,32174,5518,26655,8,3,91,2,OpenDaylight,7511,7531
4,3321.13,3921.60,3680.38,1450473214,1450473317,200.19.151.143,2015-12-18 21:15:17 2015 UTC,4,100000,10,10000,0,0,32174,5517,26656,8,4,39,3,OpenDaylight,7536,7560
5,3348.83,3959.20,3769.36,1450473338,1450473441,200.19.151.143,2015-12-18 21:17:21 2015 UTC,4,100000,10,10000,0,0,32174,5519,26653,8,4,00,3,OpenDaylight,7565,7588
6,3520.83,3886.47,3718.10,1450473468,1450473571,200.19.151.143,2015-12-18 21:19:31 2015 UTC,4,100000,10,10000,0,0,32174,5521,26651,8,3,45,3,OpenDaylight,7597,7621
7,2967.38,3842.83,3635.69,1450473600,1450473703,200.19.151.143,2015-12-18 21:21:43 2015 UTC,4,100000,10,10000,0,0,32174,5526,26649,8,3,16,3,OpenDaylight,7629,7650
8,3512.50,3866.61,3690.74,1450473728,1450473830,200.19.151.143,2015-12-18 21:23:50 2015 UTC,4,100000,10,10000,0,0,32174,5526,26647,8,3,46,3,OpenDaylight,7655,7676
9,2448.29,3862.18,3482.90,1450473842,1450473944,200.19.151.143,2015-12-18 21:25:45 2015 UTC,4,100000,10,10000,0,0,32174,5561,26614,8,4,94,4,OpenDaylight,7679,7698
