run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,1782.20,2236.99,2047.96,1450471044,1450471146,200.19.151.143,2015-12-18 20:39:06 2015 UTC,4,100000,10,10000,0,0,32174,6244,25929,8,5,78,2,OpenDaylight,5114,6422
1,2177.70,2253.31,2210.18,1450471168,1450471271,200.19.151.143,2015-12-18 20:41:11 2015 UTC,4,100000,10,10000,0,0,32174,6452,25718,8,2,55,2,OpenDaylight,6492,6534
2,1652.36,2331.73,2177.14,1450471298,1450471402,200.19.151.143,2015-12-18 20:43:22 2015 UTC,4,100000,10,10000,0,0,32174,6465,25708,8,1,82,1,OpenDaylight,6556,6584
3,2218.51,2370.39,2285.79,1450471433,1450471537,200.19.151.143,2015-12-18 20:45:37 2015 UTC,4,100000,10,10000,0,0,32174,6513,25661,8,1,76,1,OpenDaylight,6592,6615
4,2128.42,2342.96,2201.60,1450471581,1450471685,200.19.151.143,2015-12-18 20:48:05 2015 UTC,4,100000,10,10000,0,0,32174,6781,25394,8,2,29,2,OpenDaylight,6622,6652
5,1516.32,2803.49,2166.49,1450471730,1450471835,200.19.151.143,2015-12-18 20:50:35 2015 UTC,4,100000,10,10000,0,0,32174,6791,25383,8,1,95,2,OpenDaylight,6661,6688
6,2227.00,3200.62,2387.55,1450471865,1450471967,200.19.151.143,2015-12-18 20:52:47 2015 UTC,4,100000,10,10000,0,0,32174,6819,25355,8,1,59,1,OpenDaylight,6696,6718
7,1767.88,2910.19,2273.35,1450471984,1450472087,200.19.151.143,2015-12-18 20:54:47 2015 UTC,4,100000,10,10000,0,0,32174,6819,25353,8,2,38,2,OpenDaylight,6722,6755
8,2209.12,2676.20,2325.19,1450472110,1450472214,200.19.151.143,2015-12-18 20:56:54 2015 UTC,4,100000,10,10000,0,0,32174,6831,25342,8,2,41,2,OpenDaylight,6760,6790
9,1895.93,2677.32,2288.38,1450472241,1450472344,200.19.151.143,2015-12-18 20:59:04 2015 UTC,4,100000,10,10000,0,0,32174,6833,25341,8,1,28,1,OpenDaylight,6797,6826
