run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,3416.86,3931.25,3750.81,1450399064,1450399167,200.19.151.143,2015-12-18 00:39:27 2015 UTC,8,100000,10,10000,0,0,32174,6692,25480,8,3,58,1,OpenDaylight,9058,9073
1,3757.23,4087.87,3899.37,1450399183,1450399285,200.19.151.143,2015-12-18 00:41:25 2015 UTC,8,100000,10,10000,0,0,32174,6798,25376,8,2,39,1,OpenDaylight,9077,9100
2,3655.61,4014.26,3832.01,1450399303,1450399406,200.19.151.143,2015-12-18 00:43:26 2015 UTC,8,100000,10,10000,0,0,32174,6797,25377,8,1,44,1,OpenDaylight,9104,9130
3,3693.63,4199.35,3910.52,1450399429,1450399532,200.19.151.143,2015-12-18 00:45:32 2015 UTC,8,100000,10,10000,0,0,32174,6810,25364,8,1,55,1,OpenDaylight,9136,9157
4,3776.94,4186.27,3978.18,1450399557,1450399660,200.19.151.143,2015-12-18 00:47:40 2015 UTC,8,100000,10,10000,0,0,32174,6965,25207,8,2,88,1,OpenDaylight,9164,9189
5,3451.67,3771.01,3622.79,1450399690,1450399794,200.19.151.143,2015-12-18 00:49:54 2015 UTC,8,100000,10,10000,0,0,32174,6985,25186,8,1,40,1,OpenDaylight,9198,9226
6,3837.66,4208.59,4039.89,1450399814,1450399916,200.19.151.143,2015-12-18 00:51:56 2015 UTC,8,100000,10,10000,0,0,32174,6986,25185,8,1,77,1,OpenDaylight,9233,9256
7,3874.04,4261.64,4099.39,1450399929,1450400032,200.19.151.143,2015-12-18 00:53:52 2015 UTC,8,100000,10,10000,0,0,32174,6991,25183,8,2,08,1,OpenDaylight,9259,9286
8,3768.22,4218.42,4009.09,1450400048,1450400151,200.19.151.143,2015-12-18 00:55:51 2015 UTC,8,100000,10,10000,0,0,32174,7003,25170,8,1,32,1,OpenDaylight,9290,9318
9,3796.22,4229.91,3991.71,1450400171,1450400274,200.19.151.143,2015-12-18 00:57:54 2015 UTC,8,100000,10,10000,0,0,32174,7039,25137,8,1,49,1,OpenDaylight,9323,9345
