run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,2144.14,2272.84,2188.44,1450397271,1450397375,200.19.151.143,2015-12-18 00:09:35 2015 UTC,8,100000,10,10000,0,0,32174,5400,26774,8,2,98,1,OpenDaylight,8714,8729
1,1285.65,2404.39,2188.32,1450397414,1450397518,200.19.151.143,2015-12-18 00:11:59 2015 UTC,8,100000,10,10000,0,0,32174,5409,26770,8,2,65,2,OpenDaylight,8738,8757
2,2133.51,2481.52,2248.00,1450397562,1450397667,200.19.151.143,2015-12-18 00:14:27 2015 UTC,8,100000,10,10000,0,0,32174,5454,26720,8,3,40,2,OpenDaylight,8764,8787
3,2033.54,2187.32,2136.01,1450397713,1450397818,200.19.151.143,2015-12-18 00:16:58 2015 UTC,8,100000,10,10000,0,0,32174,5457,26718,8,3,62,3,OpenDaylight,8797,8816
4,2197.33,2427.80,2293.53,1450397835,1450397938,200.19.151.143,2015-12-18 00:18:58 2015 UTC,8,100000,10,10000,0,0,32174,5477,26691,8,5,25,3,OpenDaylight,8820,8838
5,1784.34,2378.04,2216.57,1450397957,1450398059,200.19.151.143,2015-12-18 00:21:00 2015 UTC,8,100000,10,10000,0,0,32174,5454,26723,8,4,25,3,OpenDaylight,8842,8862
6,2243.50,2546.67,2370.98,1450398086,1450398189,200.19.151.143,2015-12-18 00:23:09 2015 UTC,8,100000,10,10000,0,0,32174,5448,26722,8,4,42,3,OpenDaylight,8865,8889
7,971.43,2382.66,2169.81,1450398218,1450398322,200.19.151.143,2015-12-18 00:25:22 2015 UTC,8,100000,10,10000,0,0,32174,5445,26721,8,3,83,3,OpenDaylight,8894,8912
8,1365.96,3024.38,2364.51,1450398358,1450398463,200.19.151.143,2015-12-18 00:27:43 2015 UTC,8,100000,10,10000,0,0,32174,5448,26725,8,3,76,3,OpenDaylight,8920,8942
9,2294.65,3077.71,2529.39,1450398498,1450398603,200.19.151.143,2015-12-18 00:30:03 2015 UTC,8,100000,10,10000,0,0,32174,5457,26716,8,2,72,3,OpenDaylight,8950,8984
