run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,1949.07,2231.70,2093.09,1450399064,1450399167,200.19.151.143,2015-12-18 00:39:27 2015 UTC,8,100000,10,10000,0,0,32174,6694,25480,8,3,58,1,OpenDaylight,9058,9073
1,2106.91,2348.35,2263.46,1450399188,1450399291,200.19.151.143,2015-12-18 00:41:32 2015 UTC,8,100000,10,10000,0,0,32174,6798,25377,8,2,32,1,OpenDaylight,9078,9100
2,2182.35,2402.10,2279.00,1450399320,1450399424,200.19.151.143,2015-12-18 00:43:44 2015 UTC,8,100000,10,10000,0,0,32174,6796,25377,8,2,10,1,OpenDaylight,9111,9135
3,2087.64,2639.79,2278.06,1450399459,1450399563,200.19.151.143,2015-12-18 00:46:03 2015 UTC,8,100000,10,10000,0,0,32174,6816,25358,8,1,16,1,OpenDaylight,9144,9166
4,2186.33,3075.92,2346.82,1450399604,1450399708,200.19.151.143,2015-12-18 00:48:29 2015 UTC,8,100000,10,10000,0,0,32174,6965,25207,8,1,64,1,OpenDaylight,9178,9203
5,2270.27,2922.99,2399.98,1450399757,1450399862,200.19.151.143,2015-12-18 00:51:03 2015 UTC,8,100000,10,10000,0,0,32174,6989,25184,8,1,50,1,OpenDaylight,9215,9246
6,1970.41,3025.26,2388.82,1450399889,1450399992,200.19.151.143,2015-12-18 00:53:12 2015 UTC,8,100000,10,10000,0,0,32174,6989,25184,8,1,73,1,OpenDaylight,9250,9275
7,2270.53,3200.73,2455.53,1450400008,1450400111,200.19.151.143,2015-12-18 00:55:11 2015 UTC,8,100000,10,10000,0,0,32174,7002,25170,8,1,60,1,OpenDaylight,9279,9307
8,2219.94,2433.93,2322.33,1450400136,1450400240,200.19.151.143,2015-12-18 00:57:20 2015 UTC,8,100000,10,10000,0,0,32174,7028,25139,8,1,66,1,OpenDaylight,9312,9339
9,2164.39,3052.46,2362.71,1450400271,1450400375,200.19.151.143,2015-12-18 00:59:35 2015 UTC,8,100000,10,10000,0,0,32174,7041,25131,8,0,56,1,OpenDaylight,9344,9368
