run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,30631.60,35898.20,33044.83,1450486704,1450486807,200.19.151.143,2015-12-19 01:00:07 2015 UTC,8,100000,10,10000,0,0,32174,5426,26746,8,16,16,8,OpenDaylight,9715,9722
1,26395.22,36415.35,31077.53,1450486822,1450486925,200.19.151.143,2015-12-19 01:02:05 2015 UTC,8,100000,10,10000,0,0,32174,5447,26726,8,17,91,11,OpenDaylight,9723,9728
2,27323.67,33389.79,29751.79,1450486943,1450487046,200.19.151.143,2015-12-19 01:04:07 2015 UTC,8,100000,10,10000,0,0,32174,5456,26717,8,15,71,12,OpenDaylight,9728,9746
3,23482.17,39675.69,29162.36,1450487068,1450487171,200.19.151.143,2015-12-19 01:06:12 2015 UTC,8,100000,10,10000,0,0,32174,5464,26709,8,14,70,13,OpenDaylight,9746,9753
4,22449.02,40469.79,29130.74,1450487197,1450487301,200.19.151.143,2015-12-19 01:08:21 2015 UTC,8,100000,10,10000,0,0,32174,5478,26698,8,14,56,13,OpenDaylight,9756,9763
5,20722.62,39080.46,30592.10,1450487329,1450487433,200.19.151.143,2015-12-19 01:10:33 2015 UTC,8,100000,10,10000,0,0,32174,5499,26675,8,15,45,14,OpenDaylight,9768,9774
6,21474.80,36675.19,29598.75,1450487455,1450487557,200.19.151.143,2015-12-19 01:12:37 2015 UTC,8,100000,10,10000,0,0,32174,5509,26664,8,14,46,14,OpenDaylight,9776,9784
7,23137.91,28224.67,25740.51,1450487570,1450487673,200.19.151.143,2015-12-19 01:14:33 2015 UTC,8,100000,10,10000,0,0,32174,5522,26650,8,15,72,14,OpenDaylight,9786,9794
8,20838.90,28201.67,24791.78,1450487689,1450487792,200.19.151.143,2015-12-19 01:16:32 2015 UTC,8,100000,10,10000,0,0,32174,5533,26642,8,15,52,14,OpenDaylight,9796,9800
9,18376.69,29987.53,24841.02,1450487812,1450487915,200.19.151.143,2015-12-19 01:18:35 2015 UTC,8,100000,10,10000,0,0,32174,5557,26615,8,13,90,14,OpenDaylight,9804,9812
