run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,4449.02,13589.89,6560.36,1450483533,1450483637,200.19.151.143,2015-12-19 00:07:17 2015 UTC,4,100000,10,10000,0,0,32174,7473,24701,8,6,49,6,OpenDaylight,9312,9322
1,13714.95,22029.86,15124.20,1450483672,1450483776,200.19.151.143,2015-12-19 00:09:36 2015 UTC,4,100000,10,10000,0,0,32174,7510,24662,8,6,67,6,OpenDaylight,9328,9337
2,12992.25,21126.74,14771.88,1450483789,1450483892,200.19.151.143,2015-12-19 00:11:32 2015 UTC,4,100000,10,10000,0,0,32174,7554,24620,8,7,47,6,OpenDaylight,9341,9355
3,13205.90,17230.04,14890.27,1450483906,1450484009,200.19.151.143,2015-12-19 00:13:29 2015 UTC,4,100000,10,10000,0,0,32174,7543,24630,8,6,54,6,OpenDaylight,9356,9363
4,12922.11,19214.59,15747.82,1450484026,1450484129,200.19.151.143,2015-12-19 00:15:29 2015 UTC,4,100000,10,10000,0,0,32174,7550,24622,8,7,50,6,OpenDaylight,9366,9372
5,13021.17,21662.79,16298.66,1450484151,1450484254,200.19.151.143,2015-12-19 00:17:34 2015 UTC,4,100000,10,10000,0,0,32174,7556,24615,8,7,56,6,OpenDaylight,9375,9384
6,13191.17,23387.49,17809.99,1450484279,1450484383,200.19.151.143,2015-12-19 00:19:43 2015 UTC,4,100000,10,10000,0,0,32174,7556,24616,8,7,11,7,OpenDaylight,9386,9398
7,13336.55,24049.42,17818.58,1450484412,1450484515,200.19.151.143,2015-12-19 00:21:56 2015 UTC,4,100000,10,10000,0,0,32174,7555,24617,8,6,84,6,OpenDaylight,9401,9408
8,13435.17,27005.84,17098.01,1450484543,1450484645,200.19.151.143,2015-12-19 00:24:05 2015 UTC,4,100000,10,10000,0,0,32174,7556,24617,8,7,34,7,OpenDaylight,9412,9428
9,13179.40,15797.61,13811.02,1450484657,1450484760,200.19.151.143,2015-12-19 00:26:00 2015 UTC,4,100000,10,10000,0,0,32174,7561,24613,8,6,99,6,OpenDaylight,9430,9443
